iter	Passed	Remaining
0	164	164821
1	186	93131
2	207	69058
3	231	57526
4	254	50721
5	280	46418
6	307	43616
7	328	40739
8	348	38372
9	368	36527
10	393	35340
11	414	34132
12	437	33217
13	458	32272
14	482	31689
15	504	31035
16	527	30482
17	549	29973
18	571	29494
19	593	29092
20	615	28716
21	637	28352
22	660	28060
23	682	27760
24	709	27689
25	731	27420
26	756	27259
27	780	27090
28	802	26858
29	841	27223
30	899	28110
31	932	28207
32	962	28216
33	989	28107
34	1012	27915
35	1039	27837
36	1063	27671
37	1088	27552
38	1112	27410
39	1133	27213
40	1159	27123
41	1180	26936
42	1204	26801
43	1226	26653
44	1250	26533
45	1271	26371
46	1295	26273
47	1317	26124
48	1339	26003
49	1363	25914
50	1392	25903
51	1417	25842
52	1439	25728
53	1469	25747
54	1495	25693
55	1527	25746
56	1550	25646
57	1571	25526
58	1590	25374
59	1612	25266
60	1634	25157
61	1656	25053
62	1677	24955
63	1697	24827
64	1718	24716
65	1737	24581
66	1756	24460
67	1777	24364
68	1800	24290
69	1823	24228
70	1844	24133
71	1864	24034
72	1876	23834
73	1897	23747
74	1921	23701
75	1948	23687
76	1967	23584
77	1986	23481
78	2007	23409
79	2039	23449
80	2061	23391
81	2080	23295
82	2100	23202
83	2113	23050
84	2132	22960
85	2152	22881
86	2173	22813
87	2197	22773
88	2224	22770
89	2245	22700
90	2268	22664
91	2289	22597
92	2310	22538
93	2333	22491
94	2354	22429
95	2372	22345
96	2391	22266
97	2428	22354
98	2451	22311
99	2470	22236
100	2491	22175
101	2508	22086
102	2526	22004
103	2545	21932
104	2562	21844
105	2579	21756
106	2597	21681
107	2616	21612
108	2634	21536
109	2654	21474
110	2670	21391
111	2688	21315
112	2706	21245
113	2724	21170
114	2742	21106
115	2759	21031
116	2779	20973
117	2797	20906
118	2814	20833
119	2831	20767
120	2849	20698
121	2867	20635
122	2884	20569
123	2902	20508
124	2921	20452
125	2946	20440
126	2966	20394
127	2984	20335
128	3003	20279
129	3023	20231
130	3040	20166
131	3056	20097
132	3073	20034
133	3089	19969
134	3106	19907
135	3124	19851
136	3142	19794
137	3159	19733
138	3175	19671
139	3194	19620
140	3211	19566
141	3225	19487
142	3243	19436
143	3260	19379
144	3276	19321
145	3294	19272
146	3312	19222
147	3330	19171
148	3347	19116
149	3363	19061
150	3380	19006
151	3396	18949
152	3413	18895
153	3430	18843
154	3447	18795
155	3464	18746
156	3482	18699
157	3499	18649
158	3516	18601
159	3534	18556
160	3551	18507
161	3570	18467
162	3588	18427
163	3605	18377
164	3622	18332
165	3641	18293
166	3661	18263
167	3680	18228
168	3699	18190
169	3716	18144
170	3732	18097
171	3749	18051
172	3764	17995
173	3780	17947
174	3800	17914
175	3817	17871
176	3835	17834
177	3853	17795
178	3873	17765
179	3894	17739
180	3914	17712
181	3937	17695
182	3959	17679
183	4002	17748
184	4023	17725
185	4045	17705
186	4067	17685
187	4090	17666
188	4109	17635
189	4127	17594
190	4144	17554
191	4163	17521
192	4180	17481
193	4198	17442
194	4215	17403
195	4235	17374
196	4254	17340
197	4272	17304
198	4289	17264
199	4306	17225
200	4324	17189
201	4344	17162
202	4362	17126
